Job,Business Area,Area of Expertise,Looking,Skills
Windows Engineer and Code Developer,COO & Functions,Technology,"Windows 2003/2008/2012/2016/2019
File Clusters, DFS, Access Control
</span> PowerShell, Ruby)
Networking, DNS, DHCP","Active Directory
AWS / Microsoft Azure
technologies
Availability Management / Monitoring"
Big Data Developer,COO & Functions,Technology,"Varied experience in designing and engineering solutions in Scala/Java/Big Data technologies
Experience working with at least one SQL and one noSQL database
Knowledge in developing and building code in IDE (e.g. Eclipse, IntelliJ)&nbsp
Expertise in debugging application/platform across distributed architecture","Knowledge designing and engineering big data pipelines using Scala and Spark
Understanding deploying applications to run on Apache Hadoop
Proven experience deploying applications on Docker containers
Experience delivering solutions in an Agile environment"
Cloud Developer,COO & Functions,Technology,"(e.g. Java, C#, C++, Objective-C) is desirable
Superior coding skills will lead you to naturally create code that is not only easy to maintain and enhance but will be well structured and documented
Have a relevant AWS certification specific to the role (e.g. Cloud Practioner, Developer or Architect)
Have in-depth experience leading and influencing others in a Senior Developer position or similar role","Experience in designing and developing RESTful APIs
Experience with: Java/ JavaScript/ Groovy, shell scripting, JSON, YAML, XML, SQL databases, NoSQL databases, IVRs, Spring Framework, Gradle, OpenShift or other cloud platforms
Experience in developing and deploying customer contact solutions&nbsp
Knowledge of Continuous Integration and Deployment principles, understanding how Jenkins can be used to effectively support frequent releases using automated pipelines"
BA4 - Strategy & Transformation,COO & Functions,Operations,"Analytical and Detail Oriented mind-set as demonstrated by prior experience with operational transformation, continuous improvement, lean or 6 sigma experience &nbsp
experience supporting transformation programmes in a regulated environment&nbsp
experience helping improving profitability and reducing cost by optimizing operational capabilities&nbsp
experience assisting in an operational setting by interfacing with internal associates to implement procedural, technical and automation solutions &nbsp","Over one year of Credit Card, Online Banking, or Call Center industry knowledge/experience
One to two years of Financial Services or Consulting Experience
Desire to work in a fast-paced environment.
Possess high energy and high level of commitment"
BPM Operations Engineer,COO & Functions,Technology,"Demonstrable experience of having worked in Technology Operations environment with global /local teams with contributions to the overall stability and reliability of systems
Prior experience of working an Operational Team supporting Business Process Management products either TIBCO iProcess/jBPM/RedHat PAM or any other vendor products
Demonstrable Experience in Incidence Management and Change execution in a regulated environment
Experience with TIBCO iProcess/jBPM/RedHat PAM","Exposure to AWS/Azure Cloud Architecture
Broadcom Operational Intelligence tools
Open Source AiOps platforms/projects such as OpenLog/Prometheus/Grafana etc.
Ansible/Chef or other Infrastructure as a Code implementation"
Prime Financing MO Analyst,COO & Functions,Operations,"s Degree in Finance /Business &nbsp
experience in financial industry
Proficient in Microsoft and Excel (v-look ups, Pivot tables)","Experience in Fixed Income Financing operations
Knowledge and understanding in Microsoft excel (advanced knowledge such as Macros)"
Application Support Analyst,COO & Functions,Technology,"Linux, Oracle PL/SQL, Batch Schedulers- TWS/Autosys, Connect Direct, IBM MQ, Windows OS","Graduate degree preferred
AppDynamics, Wily, Geneos ITRS experience
Open source Kafka, ZooKeeper, open shift"
Business Oversight Compliance Private Bank,COO & Functions,Compliance,"Experience in business oversight/ regulatory advisory roles in one or more of the following areas: Investment, Banking and /or Credit
Technical regulatory expertise in areas including FCA COBs, MiFID II and PSR&nbsp","Legal or Business related degree or proven experience in the regulatory advisor area
Experience gained within the Legal or Compliance or Control departments of an investment bank, asset management, private bank or wealth manager
Professional qualifications would be an advantage"
Reconciliation Delivery Manager 每 ETL,COO & Functions,Technology,"Solid Stakeholder management and Communications, including presenting to senior level stakeholders
Able to build up good knowledge of area that projects operate in
Communicate effectively with business analysts, project managers and testers, understanding detailed business requirements at all stages of the development lifecycle","Experience and good working knowledge of reconciliation concepts and purposes, together with associated controls
Will also be required to participate in annual planning
previous experience of team management, including hiring
Good financial industry knowledge, with experience of Markets, Finance, and Risk functions. Also have good understanding of banking applications and infrastructure"
Senior Low Latency Java Connectivity Developer,COO & Functions,Technology,"Expertise of Core Java and/ or C++, developing/ running Java applications under linux
Understanding of multi-threading, memory management, caching, networking, distributed systems, algorithms and/ or operating systems
Experience mentoring junior team members
Experience with systems providing trading, risk, middle office, or other finance services","Experience with network or platform engineering
Experience with scripting: bash, perl, python
Knowledge of FIX, OUCH, ETI, SBE, Millennium or other financial protocols
Experience with production support"
Senior Process Optimisation Lead,COO & Functions,Operations,"Process Oriented mind-set as demonstrated by prior experience with operational transformation, continuous improvement, lean or 6 sigma experience &nbsp
Proven track record of identifying and delivering on transformation programmes in a regulated environment
liaising with compliance, front office, and technology personal to implement procedural, technical and automation solutions&nbsp","Credit Card, Online Banking, Payments or Call Center industry understanding/experience
Financial Services or Consulting Experience
High energy, high level of commitment"
Infrastructure Site Reliability Engineering,COO & Functions,Technology,"Understanding of major incident handling protocols and the ITIL problem management process
Excellent, cross-functional experience troubleshooting applications, infrastructure, and their interactions
General knowledge of Server, Storage. Database technologies and in-depth expert knowledge in any two
Functional expertise in the design and operation of complex technical systems and components</span>","Experienced in use of big data tools and technologies for root cause analysis and predictive analytics
Knowledge using various monitoring tools and technologies, such as Application and Network Performance Management
Ability to read stack traces, memory dumps and similar debugging information</span>"
KYC Analyst,COO & Functions,Operations,"Excellent communication skills, across all platforms, with the ability to flex styles to the needs of different colleagues, stakeholder, and clients
Exceptional level of time management skills to be able to proactively manage workload effectively to complete complex and high priority tasks within target timescales
Solid stakeholder management skills and experience of working with key stakeholders
Knowledge, understanding and experience of the importance of KYC to the bank through the various lenses, i.e. risk and regulation","Good command of one of the following languages: German, French, Arabic, Italian, Spanish, Dutch, Portuguese&nbsp
End-to-end KYC knowledge and experience
Knowledge of Corporate Banking
Specialist knowledge, understanding and experience in reviewing company structure, organisations and ownership"
Senior Developer,COO & Functions,Risk and Quantitative Analytics,"You have extensive knowledge of SAS, Relational Databases (Teradata, Oracle etc.), UNIX and other analytic toolsets
You have experience of delivering complex data solutions to business users and understanding the context and use of the data to build customized solutions
Broad experience of governance and controls
You have understanding of consumer credit risk analytics across customer lifecycle and knowledge of financial services portfolios","You have exceptional interpersonal skills and team player who is able to mentor junior members of the team
You have familiarity with DevOps and experience with ETL development in Ab Initio or Amazon AWS Cloud &nbsp
Broad experience in building large structured and semi structured data stores
You have the ability to identify and explain any gaps then provide technical solutions to remediate"
Financial Crime Technology 每 Service Manager,COO & Functions,Technology,"environment
Excellent communication skills
Experience of delivering sustainable results in Service Management disciplines&nbsp
Knowlesge of technical services within the portfolio, with a good appreciation of the associated business processes","Experience of the Control Environment, Risk and Governance for services/ BU, including a solid track record of dealing with external regulators/ audit and BIA
Experience of multiple development/ delivery lifecycle methodologies including SDLC/ Waterfall, Agile and Lean Control Tool
ITIL v3 Foundation certified
Ability to understand the service and the business landscape, the interdependencies between the two and be able to delve into technical detail when required"
Python Developer,COO & Functions,Technology,"Five years of Python development experience&nbsp
Bachelors in Core Computer Science /Compiler Theory background from an excellent university","technologies (Hive, Impala, Spark, Hadoop)
Proficiency in Linux environment
Knowledge working closely with git / perforce
Experience in unit testing and test-driven development"
Migration Scheduling Lead,COO & Functions,Technology,"Experience working with large datasets in a structured and methodical nature
Experience in presenting to the Management Information related to the underlying data
Experience with communicating to multiple, senior stakeholders to break down complex asks to achieve a mutually beneficial outcome","Ability to create Database queries such as SQL
Solid and broad understanding of Infrastructure components
Experience of a global working environment across multiple business areas, functions and locations is a plus"
Service Insights Analyst,COO & Functions,Technology,"Academic or worked experience utilizing Data Science techniques to derive data-led work solutions and decisions with a specific focus on inventory, lifecycle, and capacity
A background in applied analysis techniques to model the change impacts to processes, technologies or workforce
A passion for helping others, leading teams through mentoring, coaching and knowledge sharing","A background in Teaching/ Training, Counselling or HR would be desirable
A keen interest in people engagement and education strategies focusing on recruitment initiatives, and training opportunities
Proven experience working on people initiatives or people improvement workstreams"
Senior Tableau Developer,COO & Functions,Technology,"Significant prior experience in designing, building Tableau dashboards and reports
Exceptional experience in working Agile Teams
Good exposure in managing senior executives
Excellent problem-solving skills","Previous experience in reporting tools
Exceptional communication skills"
Java Developer,COO & Functions,Technology,"Unit Testing / Automated Testing
Proven ability to design and develop enterprise level software solutions using tools and techniques such as Source Control, Build Tools (e.g. Maven), TDD, automated CI/CD
Good problem solving skills
Solid communication and collaboration skills","Experience in building highly reliable, high-performance, scalable, distributed systems, and service oriented architectures
Experience with MQ and Kafka, while not essential, would be an advantage
Exposure to Cloud deployment using Docker, Kubernetes, AWS
Advanced knowledge of Unix, Shell Scripting, and Autosys"
Programme Office VP,COO & Functions,Technology,"Must be able to form strong relationships and work collaboratively with multiple stakeholders up to and including C-Suite
Project/Programme management and Portfolio/Change Governance experience in a Markets setting
Excellent Stakeholder Management skills
Excellent PowerPoint and Excel Skills with the ability to convey the message in an engaging, high-quality manner","Markets product experience&nbsp
Solid understanding of the trade lifecycle and the wider ecosystem of an Investment Bank
People Management/Leadership skills"
Senior Data Architect,COO & Functions,Technology,"Excellent knowledge and experience of building resilient, scalable and idempotent services
s like Oracle or SQL Server is a must
Excellent knowledge and experience of ETL tools and data warehousing technologies
Proven hands-on expertise in IT development with server side languages like Java, python or Scala","General understanding of the financial markets and environment, willingness and capacity to learn complex financial concepts
Experience in Test/Behaviour Driven Development (including test automation and mocking tools)
Working knowledge of AWS and Cloud technologies
Knowledge of NoSQL databases such as MongoDB</span>"
Unsecured Case Manager,COO & Functions,Operations,"Knowledge and understanding of impairment policy and implementation of recovery actions including sanctioning, Bank security, triggers/ provisions/ non-accruing debt
Thorough knowledge of Corporate and Personal insolvency
In depth knowledge of legal action/ considerations available to the Bank and at a high level, an awareness of legislation and current case law
Good knowledge of services provided by professionals and their related costs&nbsp","Previous customer experience dealing directly with customers
Knowledge of MS office applications (Word, Excel, Outlook)
Experience of a debt recovery environment
Relationship building both internal and external"
Automation Tester,COO & Functions,Technology,"Must have significant experience in Functional Testing with Automation in Java/Selenium
Extensive knowledge of Testing lifecycle and core testing process/techniques using different test approaches
Extensive understanding of Defect management processes
Good knowledge in Java and Selenium","Knowledge in API testing and Automation in Rest Assured or Karate Framework
Understanding of CI /CD and DevOps methodologies
Good SQL and ETL Skills
Exposure to Service Virtualisation using tools like GHT, CA Lisa and custom Java framework"
Controls Business Partner - GTSM,COO & Functions,Operations,"Ability to apply judgement and balance risk versus business interest whilst ensuring compliance to all relevant policies and standards
Experience of working in or within a Control type role /team
Knowledge aspects of Enterprise Risk Management Framework (ERMF), Operational Risk Framework (ORF) and Barclays Control Framework (BCF)","Ability to provide thought leadership through bringing together insight and analysis including external knowledge
Proficient Excel skills including extensive experience in managing large quantities of data, pivots, formulas, Vlookup
Effective written and oral communication skills, with the ability to present credibly to senior stakeholders"
KYC Analyst,COO & Functions,Operations,"Excellent communication skills, across all platforms, with the ability to flex styles to the needs of different colleagues, stakeholder, and clients
Exceptional level of time management skills to be able to proactively manage workload effectively to complete complex and high priority tasks within target timescales
Solid stakeholder management skills and experience of working with key stakeholder
Knowledge, understanding and experience of the importance of KYC to the bank through the various lenses, i.e. risk and regulation","Good command of one of the following languages: German, French, Arabic, Italian, Spanish, Dutch, Portuguese
End-to-end KYC knowledge and experience
Knowledge of Corporate Banking
Specialist knowledge, understanding and experience in reviewing company structure, organisations and ownership"
US Markets KYC Onboarding Team Lead,COO & Functions,Operations,"Previous experience of AML/KYC gained within investment or corporate banking&nbsp
Experience of reviewing complex structures, PEPs and/or Sanctions screening
B, LexisNexis, World Check, and others
Legal knowledge in terms of corporate law and structure","Previous experience of AML/KYC gained within investment or corporate banking&nbsp
Experience of reviewing complex structures, PEPs and/or Sanctions screening
B, LexisNexis, World Check, and others
Legal knowledge in terms of corporate law and structure"
Lead Cyber Operations Analyst,COO & Functions,Operations,"Experience and detailed technical knowledge within all the phases of incident response
Experience in presenting to executive and technical audiences both internally and at industry events
Experience working with Cyber Kill Chain, Intelligence Driven Defence and Security Architectures
Experience with Red, Blue and Purple team operations and management","major security incidents
Comprehensive knowledge and application of attack detection development and tuning, Cyber threat hunting, anomaly detection and control deployment automation
security monitoring, incident response and mitigation, web application security, threat research or intelligence analysis
Ability to identify operational risks and issues in a real time environment, and take proportionate and appropriate actions"
Java Developer,COO & Functions,Technology,"Experience in automating process of building, packaging and deploying software on to the platform using industry standard devops toolset
Good command on the Java programming language such as, Java J2EE ( EJB, JPA, Struts), Javascript, Ext-JS / Angular JS, TreeGrid, Jboss Drools
experience in using Spring Framework and data structures
Messaging JMS/ EMS/ MQ/ XML","Good command on the Java programming language and experience in using Spring Framework
Experience in using Open Source or 3rd Party Libraries such as Log4j, Hibernate, Liquibase erc.
using API test frameworks
Mule"
Project Manager,COO & Functions,Technology,"Project management experience managing multiple functions or workstreams
Proven ability to manage and influence resources to deliver to intended outcomes in a matrixed environment&nbsp
third party engagements a plus&nbsp
Ability to develop project plans, manage individual and team deadlines and goals","Ability to effectively manage to intended outcomes in the face of ambiguity
Ability to develop and deploy project metrics
PMP/PMI certification, LEAN or Six Sigma a plus&nbsp
Proficient in MS Office applications, MS Project, VISIO"
Senior Java Developer,COO & Functions,Technology,"Good command on the Java programming language such as, Java J2EE ( EJB, JPA, Struts), Javascript, Ext-JS / Angular JS, TreeGrid, Jboss Drools
experience in using Spring Framework and data structures
Messaging JMS/EMS/MQ / XML
Good knowledge of emerging software development methods, tools and standards and actively keeping this knowledge current","Capital Markets experience a plus
s degree in Computer Science or Engineering"
UI Designer,COO & Functions,Technology,"Solid knowledge of responsive and/or app UI design and interactions, through to creating detailed specifications and collaboratively working with developers
Experience of using and creating or contributing to design systems&nbsp","Proficient with tools such as Figma or Sketch, Adobe CC, Adobe XD, to effectively deliver high quality design solutions&nbsp"
Markets Trading Controls Programme Project Manager,COO & Functions,Technology,"s Degree or equivalent&nbsp
Y, KPMG, Deloitte, PwC) or financial services firm
Knowledge of markets products and controls processes, and experience gained in a previous change, technology, business or operations role
Exposure to different project methodologies, i.e. Agile Project Methodology, Software Development Life Cycle (SDLC)","Derivatives, Cash, Financing, Treasury, Reference Data, Middle Office, Risk, Finance, Control
Solid understanding of the front to back trade lifecycle within an Investment Bank
Technology change experience including exposure to full software development lifecycle&nbsp
Quantifiable track record of high performance"
Post Trade Tech Manager,COO & Functions,Technology,"Solid technical skills, and ability to design and implement high throughput, Low Latency and highly resilient systems
Relevant experience in managing large IT development teams
Demonstrable track record of leadership skills, providing clear direction to colleagues and stakeholders., ability to lead from front.
Excellent people management skills","Understanding of the end-to-end processes in Margining processes
Knowledge of Markets and Post Trade Services systems, platforms and flows
Experience of agile delivery in a data centric, regulatory environment"
Mobile Developer,COO & Functions,Technology,"Extensive experience and knowledge in developing mobile applications on iOS Platform
Swift
Experience with software engineering practices (E.g., unit testing, code reviews, design documentation)
Experience with UI development of mobile application (scalable for different screen resolutions and localization)","Exposure to AWS Connect is a plus&nbsp
Experience in Financial services is a plus"
Trading Controls Programme PMO,COO & Functions,Technology,"Experience in Project management /PMO and governance&nbsp
Proficient in full Office suite (incl. Excel, PowerPoint, etc)&nbsp
Excellent communication skills, both written and oral&nbsp
Ability to master and navigate new subject domains quickly","Technical or business academic credentials preferred
Professional qualifications (e.g. CFA, FRM or Project Management methodology)&nbsp
Basic knowledge of project management methodologies&nbsp
Exposure to Analytical skills"
Markets Post Trade Engineering Lead,COO & Functions,Technology,"s Degree in Computer Science or equivalent&nbsp
Experience in designing, developing and supporting large scale, distributed, service oriented, resilient, secure applications&nbsp
Five years of experience with .Net or Java based Enterprise applications, Front End development frameworks (Angular or React JS)
Ability to investigate and resolve issues in a high-pressured environment","Experience working with Distributed Cache (Ignite, Redis, etc) and Messaging Platforms (MQ, Kafka, etc)
Agile development practices, CI/CD, DevOps, Containers
Experience with Cloud platforms (AWS, Google)
Prior experience working with regulatory Tax applications"
UX Designer,COO & Functions,Technology,"Ensure that all activities and duties are carried out in full compliance with regulatory requirements, Enterprise Wide Risk Management Framework and internal Barclays Policies
Excellent analytical skills and an appetite for problem-solving and delivery
Own and drive the product vision through to implementation, user acceptance testing, and live adoption
Manage risk and issues by escalating to the Project/Programme Manager as appropriate to ensure project delivery remains on track","Solid experience with prototyping tools/design systems, such as Adobe XD, Sketch, Figma, Axure, and Google Material Design
Extensive experience working as an Agile UX Designer on a large scale (technology) change initiatives ideally within financial services with compliance or financial crime&nbsp
Solid experience in designing mobile apps with a working knowledge of technical frameworks
Solid experience presenting work and championing UX"
Credit Balance Elder Abuse Manager,COO & Functions,Operations,"s Degree&nbsp
Three years of experience in Credit Cards, Risk and Control, Compliance, Bank Secrecy Act, Anti-Money Laundering and/ or Lending&nbsp
Three years of investigative experience and working on AML Transaction Monitoring team
Two years of management experience ideally with AML Transaction Monitoring","Degree in Business, Accounting, Management, Finance, Criminal Justice, Fraud Prevention, or Homeland Security
Juris Doctor (JD)/ Law experience or background
Relevant professional certifications: ACAMS or CRCM"
Data Architect,COO & Functions,Technology,"Extensive experience and knowledge of ETL, CDC APIs, various data formats (JSON, Avro, Parquet, SAS) and experience in documenting/maintaining interface inventories
Deep understanding of establishing operating models for the use of data modeling tools
In-depth understanding of centralized repositories of metadata driven maintained automatically and autonomously&nbsp","Able to apply data design patterns and frameworks, working knowledge of schemas, and normalization
In-depth understanding of Cloud based infrastructure (Azure/AWS)
Familiarity with at least one industry standard data design tool (EA Sparks, ERWIN, ER Studio)
Knowledge of PCI DSS and PA DSS"
Senior Business Analyst,COO & Functions,Technology,"years of Business Analysis /Data analytics for Investment Banking Capital Markets Domain
Three or more years working on data attributes used to define various data models like Trades, Securities Positions and Cash, Margin, Asset servicing, Confirms&nbsp
Three or more years working within Operations across front or middle or back office data
Three or more years of extensive programming in Python and Shell scripting, l, basic knowledge of Java APIs and is must","Problem solving skills to review operational data issues and provide a solution by defining a data strategy
Having operations background is a plus
Working understanding as Data Scientist and helping build Data Lineage strategy
Experience working in various Settlements and Sub ledger functions like PNS, Stock Record and Settlements, PnL"
C# Developer,COO & Functions,Technology,"Excellent development skills in one of (or both) F# or/and C#
Practical experience of project delivery
Good time management, prioritisation and ability to meet deadlines
Excellent interpersonal and communication skills across all levels</span>","Familiar with UI/Web development
Familiar with any functional language, e.g. F#, Scala, Haskell, Clojure
Familiar with NoSQL database solutions, e.g. MongoDB
</span>"
Front End Development Manager,COO & Functions,Technology,"Solid experience with building highly performant, scalable and resilient UI platforms
Excellent command of Java Technologies (Swing, Spring, Spring Boot, Webservices and REST)
Experience and/or proficiency with MS-SQL (T-SQL, knowledge of performant queries and optimization strategies)
Knowledge working with JSON and REST Services","Knowledge of building UI components is a huge plus
Solid skills in object-oriented design and development
Experience modern front-end systems utilizing Angular, HTML5, CSS3, SASS, jQuery, JavaScript, React, NodeJS and Bootstrap.
Proficiency with AWS and Infrastructure management/DevOps Practices"
DEI Partner - VP,COO & Functions,HR,"Stakeholder management, consultation and influencing at a senior level&nbsp
Solid analytical, leveraging insightful data to solve problems and influence decisions
Solid written, verbal and presentation skills
Great collaborator and diplomat who thrives in bringing people of all levels together","Experience in operating in a matrix environment with the ability to balance commercial, client, and regulatory needs across businesses and geographies
Ability to develop HR strategy and act proactively to drive implementation, using creativity in approach
Ability to think innovatively and forward to find solution to optimize and develop the business (needs) as well as ability to remove barriers to change
Politically astute and able to understand the dynamics of a large, complex organisation"
Global Client Service Analyst,COO & Functions,Operations,"World Class Customer Service Skills, communicate ability at all levels both within the Bank and Larger Business/ Corporate organizations
Proven organizational skills, computer Literacy
Ability to take ownership of customer queries and workload and be self-motivated in problem solving
Ability to work towards strict deadlines and Service Level Agreements (SLAs) for quick resolution of customer queries",</span>
Leveraged Finance Risk Vice President,COO & Functions,Risk and Quantitative Analytics,"Extensive experience in credit risk or relevant experience, preferably gained at a major institution, covering Leveraged and/ or Sub-Investment Grade clients
Excellent understanding of corporate finance and banking products
Excellent product and industry knowledge
Independent problem solving skills","An MBA, CPA, or CFA and Formal Credit training is helpful but not required
Possess good interpersonal, verbal and written communication skills, and have the ability to clearly articulate complex concepts and ideas
Knowledge of Loan, High Yield and derivatives documentation"
Flow Derivatives Full-Stack Developer,COO & Functions,Technology,"Degree in Computer Science, Engineering or another analytical field
Proven experience with build backend web applications with Java, Python, Node.JS
Strong experience with Linux / Unix and Distributed file system&nbsp
Experience in designing and developing UI applications with technologies like React, Vue.js, Angular, HTML5","Solid knowledge of design patterns
Fully Hands on multitasker with top-notch programming skills
Keen eye for troubleshooting and problem solving
Ability to produce well-tested, documented, high-performance code to tight schedules"
Cloud Developer,COO & Functions,Technology,"Possess excellent knowledge of Computer Science fundamentals, Object Oriented Design and Data Structures
Experience in writing high quality, readable, reusable, testable code
Experience in automating process of building, packaging and deploying software on to the platform using industry standard devops toolset
Skilled in Test Driven Development, Continuous Delivery, Pair programming and System integration","Prior experience on AWS Stack would be an added advantage
Experience in using Open Source or 3rd Party Libraries
Working knowledge of containerization technologies"
Process Optimisation,COO & Functions,Operations,"Clear communicator (both oral and written) with good presentation and interpersonal skills
Person who demonstrates both creative thinking as well as rational/logical thinking&nbsp
Person who values collaboration as part of a team but can operate independently
Person with process optimisation experience (can have been informal as part of wider roles and responsibilities, but must be demonstrable if so)","Corporate and/or Investment Banking experience&nbsp
Lean / Six Sigma experience
Process modelling experience&nbsp
Awareness of industry recognized process automation tool sets/capabilities"
AVP Reconciliations,COO & Functions,Operations,"re looking for:</strong></span>
You have excellent interpersonal skills and the ability to build collaborative relationships
You have broad Financial Services experience ideally in an Operations, Control or Change role
Ability to demonstrate logical, creative and analytical thinking skills
Excellent experience in risk background /culture and you are able to identify problems and resolve, before the risk occurs","s degree or equivalent
You have an improvement mindset, coupled with the tenacity to make a positive difference
Broad experience within Intellimatch and/or other Barclays Books and Records platforms&nbsp
Excellent knowledge of the upstream and downstream system flow in a typical Retail, Card and investment banking environment"
Stack Developer,COO & Functions,Technology,"Hands-on C++/ C#, HTML, JavaScript, Windows Batch and Powershell scripts
Experience in writing unit tests and automated test scripts
Good understanding of software engineering principles (OOP, TDD, etc)
Familiarity with software development methodologies, e.g. Agile, Scrum, Lean, CI","Working knowledge of MS Visual Studio, Jira, Bitbucket and Jenkins
Comfortable coding on Windows OS and configuring the Windows registry
Solid analytical and problem solving abilities
Familiarity with Diebold Nixdorf ProCash platform, XFS experience"
Quant Developer 每 Climate Risk,COO & Functions,Technology,"s Degree in Computer Science, Maths, Physics, Chemistry, Biology or Engineering&nbsp
Solid analytical and programming skills, familiarity with software engineering best practices, design principles, and data structures
&nbsp
Understanding of data analysis, modelling and/or machine learning concepts and workflows&nbsp","Advanced degree in a numerical field
Experience analysing and manipulating large data sets and running parallel and/or high-performance computing
Experience of working with climate data or climate models and scenarios
Experience in the design, implementation, and validation of financial or economic simulations and models"
API Tech Release Manager,COO & Functions,Technology,"Good knowledge of E2E SDLC including a variety of software development methodologies, e.g. waterfall, agile
Experience of working in a cross-functional Agile teams
Understanding of various automated testing, continuous integration and deployment tools and practices
Experience of Change Control and Configuration Management processes, procedures and tools eg ServiceNow","Strong technical background evidenced through prior experience as an engineer or solution architect
Strong influencing and relationship skills to drive others to deliver releases in a joined up way
Strong analytical and problem solving skills
Experience of working in a change environment using CI/DevOps pipeline with git, Maven/Gradle, Jenkins"
Delivery Manager,COO & Functions,Technology,"Proven track record of delivering multiple technology initiatives across multiple business units&nbsp
Experienced in the use of JIRA or other tracking/reporting mechanisms
Experienced in the management of stakeholders, product owners and team members
Knowledgeable in the use of Agile, Waterfall and/or Hybrid methodologies and PRINCE2 Foundation or Agile Scrum Master or equivalent qualifications","Cloud Qualifications desirable or evidence that learning is underway&nbsp
Good industry knowledge in Cloud, Banking and/or Financial Services
Good knowledge of Navigator and the purpose it fulfils&nbsp
A proven track record of managing projects through their full lifecycle"
"VP, Credit Strategy",Barclays International,Analytics,"s Degree in a quantitative discipline like Statistics, Engineering, Mathematics, Operations Research etc.
Five years of credit card experience required, preferably in credit risk management function&nbsp
Five years of experience with SAS/ SQL or other relevant statistical tools","Masters or Ph.D. Degree in a quantitative discipline like Statistics, Engineering, Mathematics, Operations Research etc.
Good written and verbal communication skills with ability to prepare PowerPoints/ Spreadsheets to communicate with senior management in concise and meaningful way
Solid Project Management skills and experience&nbsp
Five years of people management experience"
Mortgage Administrator - Hybrid,COO & Functions,Relationship Management / Sales,"Strong communication and empathy skills, with the ability to use a range of communication styles to provide a personal approach
Proven ability to use Microsoft Office
The ability to build relationships with colleagues, peers and more senior individuals&nbsp
A genuine passion for helping others with a customer centric mindset&nbsp","Ability to work seamlessly as part of a team but also to their own initiative&nbsp
Experience in a customer facing or business to business role with evidence of exceeding customer/client expectations"
Data Management Business Partner (Private Bank),COO & Functions,Operations,"Excellent stakeholder management skills, with the ability to brief senior leaders and influence
Excellent written and verbal communication and solid leadership skills
Solid attention to detail and proven problem solving skill","Experience in leading small to medium size teams&nbsp
Solid Private Bank/ Wealth Management domain knowledge&nbsp"
Production Engineer,COO & Functions,Technology,"Practical experience of assisting and maintaining production environments with distributed systems and highly available services
Working knowledge of IT Infrastructure components (for example Linux or Windows Server OS, MS SQL or Oracle Databases, Networks, Load Balancers, Storage)
Practical experience of Observability/Monitoring solutions (such as AppDynamics, Thousand Eyes, Splunk, ELK or similar)
Understanding of CI/CD Pipelines and Repositories, for example Jenkins and GitHub</span>","Solid experience of working in either a SRE or DevOps model would be desirable
Exposure to working in large, collaborative teams to achieve organizational goals
Exposure to constructing SQL queries and interrogate databases
Solid knowledge of software skills such as design, development, maintenance, testing and software improvement</span>"
Junior Production Engineer,COO & Functions,Technology,"Working knowledge of supporting and maintaining production environments with distributed systems and highly available services
Working knowledge of IT Infrastructure components, such as Linux or Windows Server OS, MS SQL or Oracle Databases, Networks, Load Balancers, Storage
Understanding/ awareness of Observability/ Monitoring solutions, such as AppDynamics, Thousand Eyes, Splunk, ELK or similar
Working knowledge or an interest in modern programming languages like Java and Python this could come from the workplace, academically or from a keen interest at home","Solid working experience in either a SRE or DevOps model would be desirable
Understanding of CI/ CD Pipelines and Repositories, for example Jenkins and GitHub
Exposure to construct SQL queries and interrogate databases
Understanding of software skills, such as design, development, maintenance, testing and software improvement"
Java Developer,COO & Functions,Technology,"Possess excellent knowledge of Computer Science fundamentals, Object Oriented Design and Data Structures
Experience in writing high quality, readable, reusable, testable code
Experience in automating process of building, packaging and deploying software on to the platform using industry standard devops toolset
Skilled in Test Driven Development, Continuous Delivery, Pair programming and System integration","Prior experience on AWS Stack would be an added advantage
Experience in using Open Source or 3rd Party Libraries
Working knowledge of containerization technologies"
Data Governance Analyst,COO & Functions,Technology,"Governance background in Data Governance/ Data Management background, but this is not essential
Solid problem-solving ability to address new situations and efficiently handle any incidents which may arise
Ability to build and sustain solid working relationships with key stakeholders
Work collaboratively with teams across different geographic locations and contribute to Data Management and Governance capabilities","Experience in a Risk, Control or Governance environment and a familiarity with Barclays Policy and Standards framework
Basic knowledge Group Data Architecture Standards&nbsp
Working knowledge of Group Data Management Standards (GDMS) i.e. Experience of working and having a practical understanding of data management capabilities"
Lead Finance Business Analyst,COO & Functions,Technology,"Excellent Finance background working in Financial Control or Business Performance and Analysis
Significant experience with complex system integration and excellent understanding of the full SDLC lifecycle including both Waterfall, Agile and DevOps methodologies
Experience with creating contextual diagrams to show interfaces, data flows, use cases and high-level processes
Knowledge and understanding of Data Analysis tools","Qualified Accountant
Treasury will be beneficial
Control minded, with ability to identify risks, define controls
Experience in delivering Data Transformation programmes&nbsp"
Developer,COO & Functions,Technology,"Graduate / Post graduate degree in Computer Science, or related fields
Experience with primarily Engineering and Application Development roles in financial institutions or retail cards domain or technology companies
Knowledge of acquisitions end to end journey and specifically understanding of how RFT, Fraud, sanctions and other external systems interact with Core Apply platform
deep understanding and implementation of IT business strategies","Understanding of UNIX, cloud and container infrastructure basics
Understanding of RDBMS and NoSQL DB architecture and functioning
Experience working in a mature DevOps
Knowledge and experience with messaging and event technologies like Kafka"
